Tiempo RTA (s),Porcentaje pérdida de paquetes
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
83,0
83,0
83,0
83,0
83,0
83,0
83,0
83,0
83,0
83,0
0.083876666667,0
0.083876666667,0
0.083876666667,0
0.083876666667,0
0.083876666667,0
84,0
84,0
84,0
84,0
84,0
0.082246666667,0
0.082246666667,0
0.082246666667,0
0.082246666667,0
0.082246666667,0
0.082876666667,0
0.082876666667,0
0.082876666667,0
0.082876666667,0
0.082876666667,0
0.082123333333,0
0.082123333333,0
0.082123333333,0
0.082123333333,0
0.082123333333,0
0.082876666667,0
0.082876666667,0
0.082876666667,0
0.082876666667,0
0.082876666667,0
0.081246666667,0
0.081246666667,0
0.081246666667,0
0.081246666667,0
0.081246666667,0
0.081876666667,0
0.081876666667,0
0.081876666667,0
0.081876666667,0
0.081876666667,0
0.083753333333,0
0.083753333333,0
0.083753333333,0
0.083753333333,0
0.083753333333,0
0.080493333333,0
0.080493333333,0
0.080493333333,0
0.080493333333,0
0.080493333333,0
0.083506666667,0
0.083506666667,0
0.083506666667,0
0.083506666667,0
0.083506666667,0
0.088383333333,0
0.088383333333,0
0.088383333333,0
0.088383333333,0
0.088383333333,0
0.084616666667,0
0.084616666667,0
0.084616666667,0
0.084616666667,0
0.084616666667,0
0.083123333333,0
0.083123333333,0
0.083123333333,0
0.083123333333,0
0.083123333333,0
0.089136666667,0
0.089136666667,0
0.089136666667,0
0.089136666667,0
0.089136666667,0
0.082986666667,0
0.082986666667,0
0.082986666667,0
0.082986666667,0
0.082986666667,0
0.082876666667,0
0.082876666667,0
0.082876666667,0
0.082876666667,0
0.082876666667,0
0.084753333333,0
0.084753333333,0
0.084753333333,0
0.084753333333,0
0.084753333333,0
0.081493333333,0
0.081493333333,0
0.081493333333,0
0.081493333333,0
0.081493333333,0
0.08626,0
0.08626,0
0.08626,0
0.08626,0
0.08626,0
0.08437,0
0.08437,0
0.08437,0
0.08437,0
0.08437,0
0.082246666667,0
0.082246666667,0
0.082246666667,0
0.082246666667,0
0.082246666667,0
0.086383333333,0
0.086383333333,0
0.086383333333,0
0.086383333333,0
0.086383333333,0
0.085246666667,0
0.085246666667,0
0.085246666667,0
0.085246666667,0
0.085246666667,0
0.07974,0
0.07974,0
0.07974,0
0.07974,0
0.07974,0
0.082506666667,0
0.082506666667,0
0.082506666667,0
0.082506666667,0
0.082506666667,0
0.081246666667,0
0.081246666667,0
0.081246666667,0
0.081246666667,0
0.081246666667,0
0,0
0,0
0,0
0,0
0,0
